name,website,details,size,type
Jackrabbit,http://jackrabbit.apache.org/,http://db-engines.com/en/system/Jackrabbit,408,Content store
ModeShape,www.jboss.org/­modeshape,http://db-engines.com/en/system/ModeShape,12,Content store
MongoDB,www.mongodb.org,http://db-engines.com/en/system/MongoDB,27733,Document store
CouchDB,couchdb.apache.org,http://db-engines.com/en/system/CouchDB,2717,Document store
Couchbase,www.couchbase.com,http://db-engines.com/en/system/Couchbase,2525,Document store
Amazon DynamoDB,aws.amazon.com/­dynamodb,http://db-engines.com/en/system/DynamoDB,1488,Document store
MarkLogic,www.marklogic.com,http://db-engines.com/en/system/MarkLogic,991,Document store
RavenDB,ravendb.net,http://db-engines.com/en/system/Sybase+IQ,647,Document store
OrientDB,http://www.orientdb.org/,http://db-engines.com/en/system/OrientDB,400,Document store
GemFire,http://www.vmware.com/products/application-platform/vfabric-gemfire/overview.html,http://db-engines.com/en/system/GemFire,392,Document store
Cloudant,http://db-engines.com/en/system/Cloudant,http://db-engines.com/en/system/Cloudant,384,Document store
RethinkDB,www.rethinkdb.com,http://db-engines.com/en/system/RethinkDB,206,Document store
Datameer,www.datameer.com,http://db-engines.com/en/system/Datameer,169,Document store
Datomic,www.datomic.com,http://db-engines.com/en/system/Datomic,147,Document store
FoundationDB,foundationdb.com,http://db-engines.com/en/system/FoundationDB,114,Document store
ArangoDB,www.arangodb.com,http://db-engines.com/en/system/ArangoDB,111,Document store
Mnesia,www.erlang.org/­doc/­man/­mnesia.html,http://db-engines.com/en/system/Mnesia,99,Document store
Microsoft Azure DocumentDB,azure.microsoft.com/­en-us/­services/­documentdb,http://db-engines.com/en/system/Microsoft+Azure+DocumentDB,97,Document store
PouchDB,pouchdb.com,http://db-engines.com/en/system/PouchDB,90,Document store
Google Cloud Datastore,developers.google.com/­datastore,http://db-engines.com/en/system/Google+Cloud+Datastore,83,Document store
CloudKit,getcloudkit.com,http://db-engines.com/en/system/CloudKit,53,Document store
TokuMX,www.tokutek.com/­products/­tokumx-for-mongodb,http://db-engines.com/en/system/TokuMX,48,Document store
Clusterpoint,www.clusterpoint.com,http://db-engines.com/en/system/Clusterpoint,16,Document store
Terrastore,code.google.com/­p/­terrastore,http://db-engines.com/en/system/Terrastore,9,Document store
DensoDB,http://densodb.codeplex.com/,http://db-engines.com/en/system/DensoDB,1,Document store
Djondb,http://djondb.com/,http://db-engines.com/en/system/Djondb,1,Document store
EJDB,http://ejdb.org/,http://db-engines.com/en/system/EJDB,1,Document store
FleetDB,https://github.com/mmcgrana/fleetdb,http://db-engines.com/en/system/FleetDB,1,Document store
GlobalsDB,http://globalsdb.org/,http://db-engines.com/en/system/GlobalsDB,1,Document store
JasDB,http://www.oberasoftware.com/jasdb/,http://db-engines.com/en/system/JasDB,1,Document store
LokiJS,lokijs.org,http://db-engines.com/en/system/LokiJS,1,Document store
OrigoDB,origodb.com,http://db-engines.com/en/system/OrigoDB,1,Document store
RaptorDB,http://raptordb.codeplex.com/,http://db-engines.com/en/system/RaptorDB,1,Document store
SenseiDB,http://senseidb.com/,http://db-engines.com/en/system/SenseiDB,1,Document store
Sequoiadb,http://www.sequoiadb.com/,http://db-engines.com/en/system/Sequoiadb,1,Document store
SisoDb,http://www.sisodb.com/,http://db-engines.com/en/system/SisoDb,1,Document store
